"tag"	"moltype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
SA597_0127	cds	5.68681576719948	-0.0925073734726749	0.804163460728772	-0.115035534428337	0.908416956591754	0.997707303814983
SA597_0128	cds	0.551101891798541	-1.24375503561704	2.74485507970252	-0.453122295896159	0.650460681385043	0.997707303814983
SA597_0129	cds	0.497516093850236	1.71959967917506	2.74364797806851	0.626756673203257	0.530818748218818	0.997707303814983
SA597_0130	cds	0	NA	NA	NA	NA	NA
SA597_0131	cds	0.951881830843105	-0.955373831477298	1.99761872826732	-0.478256344896186	0.632467763614289	0.997707303814983
SA597_0132	cds	0.235437417758101	0.709821119802056	3.58995287329068	0.197724355961088	0.843260732604926	0.997707303814983
SA597_0133	cds	2.25134461768298	-0.305588667988734	1.3275076331059	-0.230197296322708	0.817938462673105	0.997707303814983
SA597_0134	cds	0.189889760025061	0.379107197203241	3.92795764333622	0.096515092988947	0.923111487414045	0.997707303814983
SA597_0135	cds	0.95549494136347	-0.522496483899451	1.92175517283959	-0.271885040968777	0.785710413698581	0.997707303814983
SA597_0136	cds	0.432440829598376	-3.12465553116329	2.90395900577527	-1.07599849892822	0.28192792772782	0.997707303814983
SA597_0137	cds	6.19880892401057	0.322127054985863	0.800700761611492	0.402306417615427	0.687458532180211	0.997707303814983
SA597_0138	cds	1.73433512182721	-0.184933865583087	1.44341376776411	-0.128122558973201	0.898051983696182	0.997707303814983
SA597_0139	cds	4.85889682677376	0.910388076571826	0.910193136342486	1.00021417457631	0.317206871007484	0.997707303814983
SA597_0140	cds	0.29499824766442	0.946482819515854	3.34248959182713	0.283167020723158	0.777048807797632	0.997707303814983
SA597_0141	cds	0	NA	NA	NA	NA	NA
SA597_0142	cds	0	NA	NA	NA	NA	NA
SA597_0143	cds	0	NA	NA	NA	NA	NA
SA597_0144	cds	0.65180678542989	0.785208882279919	2.20909313924114	0.355443991170808	0.72225699741327	0.997707303814983
SA597_0145	cds	0.545122041336585	0.0416308324724447	2.49868394811057	0.0166611037398006	0.986706977569874	0.997707303814983
SA597_0146	cds	1.92417673358785	-0.126583615818861	1.42628593449088	-0.0887505182220326	0.92928018317036	0.997707303814983
SA597_0147	cds	0	NA	NA	NA	NA	NA
SA597_0148	cds	4.86972935611538	1.40262146439175	0.971038807905364	1.44445459128184	0.148611144075841	0.997707303814983
SA597_0149	cds	1.56000807785184	-1.61787536238874	1.65108939145204	-0.979883567034435	0.3271435954562	0.997707303814983
SA597_0150	cds	2.15609886268327	-1.64790961467769	1.40477415060914	-1.1730779741093	0.240764538317568	0.997707303814983
SA597_0151	cds	0.786200298434278	2.36891558511629	2.19745341076459	1.07802767217351	0.281021407084651	0.997707303814983
SA597_0152	cds	0.569083802797496	-1.38435817261806	2.48538647721349	-0.556999156996359	0.577528005160353	0.997707303814983
SA597_0153	cds	0.257822922765066	-2.40687894487496	3.81032180564395	-0.631673403886734	0.527600310469136	0.997707303814983
SA597_0154	cds	5.29442574831894	0.232842355554212	0.874479079584666	0.26626406621963	0.790035845441161	0.997707303814983
SA597_0155	cds	0.332846776304559	1.23539005979376	3.1227775933907	0.39560616241401	0.692395590289112	0.997707303814983
SA597_0156	cds	0.516422493249242	1.85266667687526	2.63578900599946	0.702888839986169	0.482125026543632	0.997707303814983
SA597_0157	cds	0.17461790683331	-2.34090062098629	4.07704254714275	-0.574166345805449	0.565855240679958	0.997707303814983
SA597_0158	cds	0.150656145372399	-0.177667927559659	4.05235334539408	-0.0438431480220245	0.965029432985025	0.997707303814983
SA597_0159	cds	0.408479068137465	-1.22496700569439	3.0058874635723	-0.407522577122231	0.683624215538988	0.997707303814983
SA597_0160	cds	0.789834844641533	1.13024301573035	2.18991046943117	0.51611380077284	0.605774929602048	0.997707303814983
SA597_0161	cds	0	NA	NA	NA	NA	NA
SA597_0162	cds	0.47718887859658	1.72557251766894	2.54063896054642	0.679188402785816	0.497018494525534	0.997707303814983
SA597_0163	cds	0.196203803105439	0.378601625027328	3.87864200700591	0.0976119023986921	0.922240472896931	0.997707303814983
SA597_0164	cds	1.85599710469252	-2.04663119444343	1.44217570768402	-1.41912749156627	0.155861850303572	0.997707303814983
SA597_0165	cds	1.71511114699273	0.134049959008073	1.513721627816	0.0885565460285332	0.929434343588693	0.997707303814983
SA597_0166	cds	1.82572130015123	-1.4460952900498	1.44325534117413	-1.00196773834445	0.316359174625807	0.997707303814983
SA597_0167	cds	0.348918238231146	-1.04629747287254	3.14730877491827	-0.332441952060997	0.739555564918909	0.997707303814983
SA597_0168	cds	1.41078034825245	0.280288910117441	1.57527124524004	0.177930569712603	0.85877750274155	0.997707303814983
SA597_0169	cds	2.17224705601065	-1.16985672779867	1.38942134543378	-0.841974057504805	0.399802474801446	0.997707303814983
SA597_0170	cds	3.14571478312588	-0.670805246713183	1.1570132491616	-0.579773176494969	0.562067588531199	0.997707303814983
SA597_0171	cds	0.196203803105439	0.378601625027328	3.87864200700591	0.0976119023986921	0.922240472896931	0.997707303814983
SA597_0172	cds	4.22482548618751	-0.28304340605134	0.954568008562737	-0.296514657428662	0.766837074984242	0.997707303814983
SA597_0173	cds	0.31126088003243	-0.656198626071823	3.27395898005212	-0.200429703020096	0.841144531119337	0.997707303814983
SA597_0174	cds	0.04554765773304	-0.551291124646171	4.0621351136751	-0.135714620321284	0.892046889316486	0.997707303814983
SA597_0175	cds	0	NA	NA	NA	NA	NA
SA597_0176	cds	202.082348434668	0.540272621048451	0.213221456168044	2.53385672698273	0.0112814847233216	0.997707303814983
SA597_0177	cds	95.6248041754835	0.332393789229272	0.276082344051745	1.20396612239344	0.228602672822299	0.997707303814983
SA597_0178	cds	0.144342102292021	-0.177667754954771	4.05235334135732	-0.0438431054719582	0.965029466902452	0.997707303814983
SA597_0179	cds	2.70975582490231	-0.15360539764013	1.28321944058056	-0.119703141008085	0.90471831208877	0.997707303814983
SA597_0180	cds	0.280985075491141	0.984630006405658	3.33745982501924	0.295023777971614	0.767975715514231	0.997707303814983
SA597_0181	cds	0.757714881804085	-2.47368741720502	2.27810209149355	-1.08585450425676	0.277543367961304	0.997707303814983
SA597_0182	cds	0.561193503263173	-2.4215573348771	2.67039950788389	-0.906814627447268	0.364504833332785	0.997707303814983
SA597_0183	cds	0.144342102292021	-0.177667754954771	4.05235334135732	-0.0438431054719582	0.965029466902452	0.997707303814983
SA597_0184	cds	0.257822922765066	-2.40687894487496	3.81032180564395	-0.631673403886734	0.527600310469136	0.997707303814983
SA597_0185	cds	0	NA	NA	NA	NA	NA
SA597_0186	cds	0.557415934878918	-1.24439649219151	2.73711988462137	-0.454637189690963	0.649370274958601	0.997707303814983
SA597_0187	cds	0.733292522730701	0.274813331961963	2.28910967850726	0.120052496628807	0.904441562338125	0.997707303814983
SA597_0188	cds	0.674192290436855	-0.983902871325165	2.22427641662146	-0.442347391705772	0.658237841739746	0.997707303814983
SA597_0189	cds	0.04554765773304	-0.551291124646171	4.0621351136751	-0.135714620321284	0.892046889316486	0.997707303814983
SA597_0190	cds	1.55862299183932	-1.42250851039108	1.62872125225333	-0.873389788721083	0.382450654876238	0.997707303814983
SA597_0191	cds	1.33575649471295	-0.946443608350688	1.64785952048497	-0.574347264791204	0.565732831110878	0.997707303814983
SA597_0192	cds	1.3412709290585	0.901018335010495	1.64882313241116	0.546461483526671	0.584748756716798	0.997707303814983
SA597_0193	cds	0	NA	NA	NA	NA	NA
SA597_0194	cds	0.818534392728876	-0.382828978963377	1.97937171601891	-0.193409340885883	0.846638400580524	0.997707303814983
SA597_0195	cds	14.7983818241316	0.434573012331575	0.53312041509328	0.815149823620124	0.414986555131303	0.997707303814983
SA597_0196	cds	68.8891281531019	0.91761908636534	0.280428687559318	3.27220119436333	0.00106713606775386	0.997707303814983
SA597_0197	cds	0	NA	NA	NA	NA	NA
SA597_0198	cds	0.675768546890801	-0.322147361914921	2.29509967701195	-0.140363124591753	0.888373091682928	0.997707303814983
SA597_0199	cds	0.810835263635975	-0.248338523039516	2.05259625172497	-0.120987516580923	0.903700922881458	0.997707303814983
SA597_0200	cds	0	NA	NA	NA	NA	NA
SA597_0201	cds	0	NA	NA	NA	NA	NA
SA597_0202	cds	0	NA	NA	NA	NA	NA
SA597_0203	cds	0.17461790683331	-2.34090062098629	4.07704254714275	-0.574166345805449	0.565855240679958	0.997707303814983
SA597_0204	cds	0.257822922765066	-2.40687894487496	3.81032180564395	-0.631673403886734	0.527600310469136	0.997707303814983
SA597_0205	cds	0	NA	NA	NA	NA	NA
SA597_0206	cds	0	NA	NA	NA	NA	NA
SA597_0207	cds	3.26246970299693	-0.24392416874641	1.06433724970249	-0.229179396675812	0.818729485520677	0.997707303814983
SA597_0208	cds	2.26143470381877	1.26851611866759	1.38227712806371	0.91770028810686	0.358775796803438	0.997707303814983
